treatment	participant_index_in_pages	participant_max_page_index	participant_current_app_name	participant_current_page_name	participanttime_started_utc	participantvisited	id_in_group	random_block	random_order	control_question1	control_question2	alternative1	participantcode	participantid_in_session	subsessionround_number	policy_choice	alt	choice	policy	price_ur	price_un	price_o	ev	revenue	attributes_binary_1	attributes_binary_2	attributes_binary_3	attributes_binary_4	attributes_binary_5	sessioncode	level_price_ur	level_price_un	level_price_o	level_ev	level_revenue	choice_policy	policy1	policy2	left	d_rev1	d_rev2	d_rev3	d_rev4	d_rev5
Baseline	169	169	A_Planet3_ES	End	52:53.9	1	1	4	445067231	3		5	ooxl8r2l	1	1	3	1	0	1	.30000001	.2	.029999999	1	Low income citizens						uln4i2w2	3	3	3	4	3	0	1	0	1	0	0	1	0	0
Baseline	169	169	A_Planet3_ES	End	56:16.8	1	1	1	125734106	3		5	fa0lgio1	1	1	3	1	0	1	.5	.30000001	.0099999998	0	Equal cash transfer						2lf8iml1	4	4	1	1	2	0	1	0	1	0	1	0	0	0
Baseline	169	169	A_Planet3_ES	End	52:53.9	1	1	4	445067231	3		5	ooxl8r2l	1	1	3	2	0	1	.5	.1	.050000001	0	General budget						uln4i2w2	4	2	4	1	1	0	0	1	0	1	0	0	0	0
Baseline	169	169	A_Planet3_ES	End	56:16.8	1	1	1	125734106	3		5	fa0lgio1	1	1	3	2	0	1	.050000001	.050000001	.02	.25	Low income citizens						2lf8iml1	1	1	2	2	3	0	0	1	0	0	0	1	0	0
Baseline	169	169	A_Planet3_ES	End	52:53.9	1	1	4	445067231	3		5	ooxl8r2l	1	1	3	3	1	0	0	0	0	0	0						uln4i2w2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baseline	169	169	A_Planet3_ES	End	56:16.8	1	1	1	125734106	3		5	fa0lgio1	1	1	3	3	1	0	0	0	0	0	0						2lf8iml1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baseline	169	169	A_Planet3_ES	End	56:16.8	1	1	1	125734106				fa0lgio1	1	2	3	1	0	1	.5	.1	.050000001	1	Investments in roads						2lf8iml1	4	2	4	4	4	0	1	0	1	0	0	0	1	0
Baseline	169	169	A_Planet3_ES	End	52:53.9	1	1	4	445067231				ooxl8r2l	1	2	3	1	0	1	.5	.050000001	.0099999998	1	Low income citizens						uln4i2w2	4	1	1	4	3	0	1	0	1	0	0	1	0	0
Baseline	169	169	A_Planet3_ES	End	56:16.8	1	1	1	125734106				fa0lgio1	1	2	3	2	0	1	.30000001	.2	.0099999998	.5	Public transport, walking and cycling						2lf8iml1	3	3	1	3	5	0	0	1	0	0	0	0	0	1
Baseline	169	169	A_Planet3_ES	End	52:53.9	1	1	4	445067231				ooxl8r2l	1	2	3	2	0	1	.30000001	.30000001	.02	.25	Equal cash transfer						uln4i2w2	3	4	2	2	2	0	0	1	0	0	1	0	0	0
Baseline	169	169	A_Planet3_ES	End	56:16.8	1	1	1	125734106				fa0lgio1	1	2	3	3	1	0	0	0	0	0	0						2lf8iml1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baseline	169	169	A_Planet3_ES	End	52:53.9	1	1	4	445067231				ooxl8r2l	1	2	3	3	1	0	0	0	0	0	0						uln4i2w2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baseline	169	169	A_Planet3_ES	End	52:53.9	1	1	4	445067231				ooxl8r2l	1	3	3	1	0	1	.5	.050000001	.029999999	1	General budget						uln4i2w2	4	1	3	4	1	0	1	0	1	1	0	0	0	0
