treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Baseline,1,ooxl8r2l,169,169,A_Planet3_ES,End,52:53.9,1,ES,81,1,0,0,,1,2,2,2,81,3,,0,5,,2,0,0,,7,1,,1,4,4,uln4i2w2
Pollution,2,i6cytpys,169,169,A_Planet3_ES,End,27:59.7,1,ES,85,1,1,1,4,1,2,2,0,82,0,,0,3,,1,1,0,,2,0,,3,4,2,uln4i2w2
Public Services,3,js43i4q6,169,169,A_Planet3_ES,End,15:31.7,1,ES,78,1,1,1,4,0,2,2,0,94,0,,0,2,,0,1,0,,4,1,,1,4,4,uln4i2w2
Road Pricing,4,wjalnvbm,169,169,A_Planet3_ES,End,32:09.6,1,ES,73,1,1,1,4,0,2,2,2,81,1,,2,2,,1,3,0,,4,1,,2,5,3,uln4i2w2
Social Norm,5,bt4ub78z,169,169,A_Planet3_ES,End,24:33.9,1,ES,3,1,0,0,,0,1,0,2,79,4,,2,0,,1,1,5,1,1,0,,5,4,3,uln4i2w2
Baseline,6,5thamyfx,169,169,A_Planet3_ES,End,08:54.6,1,ES,95,1,1,0,4,1,2,2,2,64,1,,1,2,,1,0,1,,0,1,,2,4,3,uln4i2w2
Pollution,7,8xnl007r,169,169,A_Planet3_ES,End,24:41.5,1,ES,85,1,0,1,,1,1,1,0,86,5,,0,0,,2,0,1,1,3,2,,4,5,2,uln4i2w2
Public Services,8,wa9mirry,169,169,A_Planet3_ES,End,11:01.5,1,ES,89,1,1,0,0,2,2,1,2,73,1,,0,0,,1,1,1,1,3,2,,3,4,3,uln4i2w2
Road Pricing,9,7swa81a6,169,169,A_Planet3_ES,End,24:46.0,1,ES,80,1,1,1,4,2,2,2,2,169,1,,0,4,,0,3,0,,0,1,,3,4,3,uln4i2w2
Social Norm,10,8utng60s,169,169,A_Planet3_ES,End,02:03.4,1,ES,89,0,1,0,4,2,2,0,5,91,5,,2,3,,1,1,1,,5,1,,1,4,4,uln4i2w2
Baseline,11,iljz4kcr,169,169,A_Planet3_ES,End,54:06.3,1,ES,86,1,1,0,4,1,2,2,2,64,1,,1,4,,1,3,0,,0,0,,3,5,3,uln4i2w2
Pollution,12,a74gqjmu,8,169,A_Planet1_ES,B6,06:07.8,1,ES,73,1,1,1,4,2,2,2,2,,,,,,,,,,,,,,,,,uln4i2w2
Public Services,13,g57v7f6b,169,169,A_Planet3_ES,End,00:06.7,1,ES,5,0,1,1,4,0,2,2,2,73,1,,0,4,,1,3,0,,0,1,,3,5,4,uln4i2w2
Road Pricing,14,mjk6292s,169,169,A_Planet3_ES,End,58:03.4,1,ES,87,0,1,0,4,1,2,2,2,73,1,,0,3,,1,2,0,,4,1,,4,6,3,uln4i2w2
Social Norm,15,b2zbxt87,169,169,A_Planet3_ES,End,17:16.1,1,ES,86,1,1,0,4,0,2,2,2,73,1,,0,4,,1,3,0,,1,3,,2,5,4,uln4i2w2
Baseline,16,f7l8qaxj,169,169,A_Planet3_ES,End,26:40.5,1,ES,57,1,1,1,4,0,0,2,2,73,1,,0,0,,2,0,1,1,8,0,,4,5,3,uln4i2w2
Pollution,17,gc2yc6kb,169,169,A_Planet3_ES,End,00:40.1,1,ES,81,1,1,0,4,2,2,2,2,64,1,,0,4,,0,0,1,,0,0,,3,5,2,uln4i2w2
Public Services,18,lceiue4p,169,169,A_Planet3_ES,End,52:30.5,1,ES,81,1,2,,4,2,2,2,2,73,1,,0,4,,1,1,0,,0,1,,3,4,3,uln4i2w2
Road Pricing,19,yhtytjg8,169,169,A_Planet3_ES,End,03:38.2,1,ES,82,1,1,2,4,2,2,2,2,73,1,,0,4,,1,2,1,,0,0,,2,4,3,uln4i2w2
Social Norm,20,oce85yq5,169,169,A_Planet3_ES,End,37:56.9,1,ES,85,1,0,0,,2,2,2,0,85,0,,0,0,,2,0,0,1,1,0,,2,4,3,uln4i2w2
Baseline,21,2x8lwzgs,169,169,A_Planet3_ES,End,16:30.4,1,ES,78,1,1,0,2,1,2,2,2,81,6,,2,5,,1,1,0,,6,0,,4,4,2,uln4i2w2
Pollution,22,s3lur6hw,169,169,A_Planet3_ES,End,07:39.0,1,ES,139,1,0,2,,0,2,0,0,73,0,,0,0,,2,0,2,1,3,2,,3,5,3,uln4i2w2
Public Services,23,xrbj74l6,169,169,A_Planet3_ES,End,56:58.5,1,ES,92,1,2,,4,1,2,2,0,82,0,,0,3,,0,1,0,,8,0,,3,5,3,uln4i2w2
Road Pricing,24,j632e8gi,169,169,A_Planet3_ES,End,52:17.6,1,ES,78,1,0,1,,1,1,1,2,64,1,,1,2,,1,1,0,,0,0,,3,5,3,uln4i2w2
Social Norm,25,vbrs1zxw,169,169,A_Planet3_ES,End,17:17.2,1,ES,84,1,0,1,,2,1,2,2,21,1,,0,0,,0,1,3,1,2,2,,4,4,2,uln4i2w2
Baseline,26,dp91xtaq,169,169,A_Planet3_ES,End,59:31.1,1,ES,90,1,0,1,,2,2,2,0,6,0,,0,0,,0,2,1,1,10,,"La que tengo que la mejor, la más rápida ",4,5,4,uln4i2w2
Pollution,27,3wx4k804,169,169,A_Planet3_ES,End,08:37.4,1,ES,121,0,2,,4,2,2,2,2,64,1,,1,4,,0,2,3,,10,,"porque no tengo coche, tampoco patineta, tampoco hay metro, ni autobuses de Parla a la universidad. solo cercanias",4,4,4,uln4i2w2
Public Services,28,ku4wa0bo,169,169,A_Planet3_ES,End,39:47.2,1,ES,90,0,2,,2,1,2,2,1,90,5,,2,2,,0,0,0,,10,,La zona de Entrevías no está muy comunicada...,3,5,4,uln4i2w2
Road Pricing,29,xqb85ccf,169,169,A_Planet3_ES,End,02:59.6,1,ES,6,0,2,,4,2,2,2,2,5,1,,0,2,,2,2,3,,1,0,,1,5,1,uln4i2w2
Social Norm,30,7bbx2y71,169,169,A_Planet3_ES,End,51:09.2,1,ES,21,1,1,0,1,0,2,2,1,73,0,,0,0,,0,1,2,1,1,0,,4,5,2,uln4i2w2
Baseline,31,blto2mcw,169,169,A_Planet3_ES,End,17:36.7,1,ES,94,1,0,0,,0,2,2,0,82,0,,0,3,,0,0,0,,5,0,,2,5,3,uln4i2w2
Pollution,32,x30bjs8t,169,169,A_Planet3_ES,End,00:08.4,1,ES,82,1,1,0,4,2,1,2,2,73,1,,1,0,,0,1,1,1,4,2,,3,5,2,uln4i2w2
Public Services,33,j1jyvbvz,169,169,A_Planet3_ES,End,14:49.2,1,ES,97,1,1,1,4,0,2,2,0,81,0,,0,4,,0,1,0,,1,0,,2,5,3,uln4i2w2
