treatment,participant.id_in_session,participant.code,player.id_in_group,player.random_block,player.random_order,control_question1,control_question2,alternative1,policy_choice,Price_UR_A,Price_UN_A,Price_O_A,EV_A,Revenue_A,Price_UR_B,Price_UN_B,Price_O_B,EV_B,Revenue_B,attributes_binary_1,attributes_binary_2,attributes_binary_3,attributes_binary_4,attributes_binary_5,subsession.round_number,session.code
Baseline,1,ooxl8r2l,1,4.0,445067231.0,3.0,,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,,,,,,1,uln4i2w2
Pollution,2,i6cytpys,2,0.0,5213467.0,3.0,,5.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,,,,,,1,uln4i2w2
Public Services,3,js43i4q6,3,7.0,727301546.0,3.0,,5.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,,,,,,1,uln4i2w2
Road Pricing,4,wjalnvbm,4,0.0,64507312.0,3.0,,5.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,,,,,,1,uln4i2w2
Social Norm,5,bt4ub78z,5,7.0,752760341.0,3.0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,1,uln4i2w2
Baseline,6,5thamyfx,6,0.0,31407625.0,3.0,,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,,,,,,1,uln4i2w2
Pollution,7,8xnl007r,7,2.0,265437021.0,3.0,,4.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,,,,,,1,uln4i2w2
Public Services,8,wa9mirry,8,7.0,706253471.0,3.0,,4.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,,1,uln4i2w2
Road Pricing,9,7swa81a6,9,4.0,471032546.0,3.0,,1.0,3.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,,,,,,1,uln4i2w2
Social Norm,10,8utng60s,10,3.0,374325160.0,3.0,,5.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,,,,,,1,uln4i2w2
Baseline,11,iljz4kcr,11,0.0,75412306.0,3.0,,2.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,5.0,,,,,,1,uln4i2w2
Pollution,12,a74gqjmu,12,,,,,,,,,,,,,,,,,,,,,,1,uln4i2w2
